ts	phase	decision	why	evidence	result
2026-09-13T03:38:48Z	baseline	Preserve the existing engine and scenes	The current RF behavior and offline app are working	apps/web/src/Scene.tsx; packages/simulation/src/index.ts	312 tests pass; production build passes
2026-09-13T03:52:23Z	curriculum	Add 32 authored lessons and mastery evidence	Learners need repeatable prediction and transfer exercises	content/lessons.ts; packages/missions/product.test.ts; docs/product/CURRICULUM.md	46 curriculum tests pass
2026-09-13T03:52:23Z	engine	Add pure energy, network, instrument and fantasy models	All modes must share accountable numerical behavior	validation/laboratory.test.ts; validation/network.test.ts; packages/simulation/src/network.ts	40 new physics and network tests pass
2026-09-13T03:52:23Z	browser	Complete first lesson through transfer and next lesson	Compilation alone cannot prove the learning flow	apps/web/src/ProductApp.tsx; docs/product/WORK_PLAN.md	Browser first-contact success and next lesson verified
2026-09-13T03:52:23Z	recovery	Recover notebook entries independently and preserve A/B physics	A damaged draft must not erase saved work or change a comparison universe	apps/web/src/productStorage.test.ts; apps/web/src/productDomain.test.ts	30 storage and 18 domain tests pass
2026-09-13T03:57:05Z	browser	Verify classroom round trip, power comparison, and HF failure	User-facing results must match engine behavior	docs/product/VERIFICATION.md; apps/web/src/productDomain.test.ts	Import works; tenfold power adds 10dB; above-MUF route fails
2026-09-13T03:57:05Z	offline	Stop production server and reload cached app	Schools need the lessons without a backend or connection	docs/product/VERIFICATION.md; apps/web/public/sw.js	Offline reload and SEND IT pass; mobile pages fit 390px
2026-09-13T04:02:58.262696+00:00	map	Bundle Natural Earth 50m geographic context	Improve coastline and island detail without online dependencies	content/ASSETS.md; content/maps/build.py; apps/web/src/countries.test.ts	1.99MB vector assets; Singapore selection and rendering verified offline
2026-09-13T04:02:58.262696+00:00	final-review	Reject invalid counterfactuals and unassessed endurance	Avoid crashes and false communication claims	apps/web/src/terrainProjection.test.ts; validation/network.test.ts	Independent review clear; 472 tests and build pass
2026-09-13T04:02:58.262696+00:00	product-qa	Verify portable wires and draft recovery	Classroom work must survive mistakes and navigation	docs/product/PANEL_VERIFICATION.md; docs/product/VERIFICATION.md	Wire import undo and invalid preservation pass; notebook remove undo and teacher reload pass
2026-09-13T04:20:00Z	workspace	Use persistent phases and bounded experiment views	Reduce scrolling while preserving results and mastery	docs/product/TUTOR_WORK_PLAN.md	Desktop720px page; mobile390px width verified
2026-09-13T04:20:00Z	tutor	Ground text and voice in server-validated engine context	Support useful dialogue without exposing keys or inventing simulation results	docs/TUTOR_SETUP.md; apps/server/app.test.ts	499 tests and build pass; browser fixture verified; live provider awaits key
